Entry_Date,Exit_Date,Holding_Days,Asset_Y,Asset_X,Hedge_Ratio,Entry_Value,Exit_Value,PnL,Return_%,Year
2021-10-19,2021-12-28,70,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,1126.7810595490823,1796.155194642733,669.3741350936507,0.5940587387593489,2021
2022-03-21,2022-04-07,17,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,1308.2001512268703,1393.0529355258518,84.85278429898153,0.06486223397803768,2022
2022-06-23,2022-07-11,18,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-1239.2824416191993,-1157.7143217762305,81.56811984296883,0.06581882959335325,2022
2022-08-23,2022-11-11,80,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,905.1000052293525,1035.94084477878,130.84083954942753,0.14455953904924843,2022
2022-11-23,2022-11-24,1,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-1281.4241636012944,-1478.8636772367022,-197.43951363540782,-0.1540781883498489,2022
2022-11-29,2022-12-30,31,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-1379.3256379442155,-1160.2485176997839,219.07712024443163,0.15882915115748167,2022
2023-04-03,2023-06-02,60,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,1000.5830255503829,1318.9628207749483,318.37979522456544,0.3181942798294392,2023
2023-06-30,2023-07-17,17,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,1214.064734968933,1339.8433202225665,125.77858525363354,0.10360121798353045,2023
2023-08-11,2023-09-29,49,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,1049.393024732362,1122.1211727549103,72.72814802254834,0.06930496611705322,2023
2023-12-07,2024-01-11,35,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,890.9693142901351,1153.9612148281412,262.9919005380061,0.2951750372542746,2023
2024-01-31,2024-02-13,13,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-1635.8706305784426,-2174.2782107601624,-538.4075801817198,-0.3291260140732151,2024
2024-02-15,2024-03-11,25,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-2004.768043874452,-1427.3067671215804,577.4612767528715,0.2880439353157581,2024
2024-05-06,2024-07-08,63,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-1875.3925463511887,-2278.9952676204957,-403.60272126930704,-0.21520972878695008,2024
2024-07-11,2024-07-23,12,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-2232.8438262765576,-1969.918688637108,262.92513763944953,0.1177534830449373,2024
2024-10-17,2024-11-07,21,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-2644.55867450193,-3438.018896972959,-793.4602224710288,-0.30003502290243844,2024
2025-01-31,2025-03-03,31,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,2355.782174998266,2245.2276566699456,-110.55451832832023,-0.046929007062548815,2025
2025-03-25,2025-04-25,31,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-2754.6935053833886,-2666.6564920793744,88.03701330401418,0.031958914170294055,2025
2025-05-09,2025-06-13,35,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,2251.5172552915265,2636.032548963878,384.5152936723516,0.17078052267583646,2025
2025-07-08,2025-08-08,31,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-3167.9804778702046,-2663.9985659474432,503.98191192276136,0.15908617980549628,2025
