Asset_Y,Asset_X,Hedge_Ratio,Half_Life,ADF_p_value
BAJFINANCE.NS,KOTAKBANK.NS,2.484277615124675,25.115057174866664,0.0003345989176954
EICHERMOT.NS,MARUTI.NS,1.3504981178945166,27.45023047348579,1.4034104634956647e-05
GRASIM.NS,HINDALCO.NS,0.9094732562823544,31.39081259656801,0.0001027982256687
ADANIPORTS.NS,ULTRACEMCO.NS,1.235148117481904,36.28399349331139,0.0006037449338301
EICHERMOT.NS,M&M.NS,0.6002711761362837,36.86528822262074,0.0021126368664007
APOLLOHOSP.NS,HCLTECH.NS,1.3148224027743984,39.06248740939828,0.0016710350194549
AXISBANK.NS,LT.NS,0.5930014407921638,40.525294599482216,0.0017528028171443
HDFCBANK.NS,ICICIBANK.NS,0.4355490235280997,41.901747795460786,0.0006415111226825
BAJFINANCE.NS,HDFCBANK.NS,2.0321255157184703,42.20340914495062,0.0052889780018049
GRASIM.NS,TATASTEEL.NS,0.8190802826579086,42.246032079094796,0.0009116135889225
HDFCBANK.NS,KOTAKBANK.NS,1.137163465375638,42.41473558619131,0.0009333310968659
ADANIPORTS.NS,HINDALCO.NS,0.9643153578108816,42.447813463536626,0.0010819456054103
POWERGRID.NS,SUNPHARMA.NS,1.0028339461457958,42.48833786266037,0.0076747422842071
HINDUNILVR.NS,NESTLEIND.NS,0.5645247230940544,44.40523672083692,0.0041391965475354
HINDALCO.NS,TATASTEEL.NS,0.8902196284909117,44.420754812042745,0.0028147303881882
AXISBANK.NS,SBIN.NS,0.5817322545411925,44.9061736245434,0.0009955419995172
HDFCBANK.NS,TECHM.NS,0.5177867635877531,44.99169928924518,0.0043596817956723
ADANIPORTS.NS,GRASIM.NS,1.0431056832435828,44.99927565980232,0.0018188727850045
HCLTECH.NS,ULTRACEMCO.NS,1.2054261520224665,45.132385111946675,0.0026999851789693
MARUTI.NS,SHRIRAMFIN.NS,0.5204747062992405,45.2304652960793,0.0022841036163961
M&M.NS,MARUTI.NS,2.148530575317732,45.66184227495056,0.0118728744326293
ICICIBANK.NS,TITAN.NS,0.9499911443546122,45.74456572544755,0.0085929772872254
HDFCBANK.NS,ULTRACEMCO.NS,0.5296021426233946,47.16477814395081,0.0023898730006008
ICICIBANK.NS,SBILIFE.NS,1.4277356473541325,48.56816019796877,0.0354191624495136
BAJAJFINSV.NS,KOTAKBANK.NS,2.1836716605013224,48.684804342997694,0.0023446593834292
BHARTIARTL.NS,SBILIFE.NS,1.6168725662514098,49.19180992863879,0.0047796719478576
ADANIPORTS.NS,CIPLA.NS,1.2235736977888896,49.337380004236444,0.0093637031476842
KOTAKBANK.NS,TECHM.NS,0.3883443122135204,49.35617323777999,0.0111333349901224
HDFCLIFE.NS,KOTAKBANK.NS,0.8645817611631014,49.359180060476035,0.0027930330381689
KOTAKBANK.NS,TCS.NS,0.4821206646783645,50.02099026868804,0.0143560247833256
APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,50.12526112232477,0.0129162427465542
HINDUNILVR.NS,RELIANCE.NS,0.4878773643858306,50.190613706444104,0.0020506007032235
APOLLOHOSP.NS,HDFCBANK.NS,2.759215779719001,50.25358216530983,0.0120035251640531
KOTAKBANK.NS,NESTLEIND.NS,0.4581095528598458,50.648443149261915,0.0195805987214512
HDFCBANK.NS,SBILIFE.NS,0.6217113273103205,50.75724475544296,0.0056002892200953
POWERGRID.NS,TRENT.NS,0.5316338964602683,50.870000251571966,0.0312217831885233
INFY.NS,TCS.NS,1.2734079196003585,51.773114251370046,0.0029045707825133
EICHERMOT.NS,SHRIRAMFIN.NS,0.7274361340978185,52.03430941309008,0.0039147100802321
HINDUNILVR.NS,KOTAKBANK.NS,0.9517192037200756,52.07549332849074,0.0030927709234449
DRREDDY.NS,RELIANCE.NS,0.8677329146638918,52.205231468285426,0.0042187451747141
CIPLA.NS,HCLTECH.NS,0.7576348648812329,52.36294488699071,0.0036815746525957
KOTAKBANK.NS,SBILIFE.NS,0.4627729611402261,52.60152452033282,0.0099825605467239
HINDALCO.NS,JSWSTEEL.NS,0.8971704128044977,52.6077316858425,0.0015214352794668
BAJAJFINSV.NS,HDFCBANK.NS,1.85171310738294,52.67077932930305,0.0047666775277721
TECHM.NS,ULTRACEMCO.NS,0.9589911721779631,53.37671236593317,0.0031654826455111
KOTAKBANK.NS,RELIANCE.NS,0.4140793509157995,53.49240166986711,0.0120207910652026
BAJAJFINSV.NS,TECHM.NS,1.039458582132608,53.82822620115344,0.002505517930972
NESTLEIND.NS,RELIANCE.NS,0.8599827875298398,54.24870848749839,0.0066856969990346
KOTAKBANK.NS,TITAN.NS,0.3056573832098734,54.37193099918209,0.0129849564820695
GRASIM.NS,JSWSTEEL.NS,0.8250585462965536,54.5684350779612,0.0036598162295509
KOTAKBANK.NS,WIPRO.NS,0.4251717689676989,54.87096191420788,0.0039160498015442
HCLTECH.NS,HDFCBANK.NS,2.042659508640134,55.0424915711409,0.0092252858626365
JSWSTEEL.NS,TATASTEEL.NS,0.966447033110422,55.379743127915994,0.0012193280804816
ADANIPORTS.NS,POWERGRID.NS,0.9444666116677238,55.520256275765966,0.0237936071101741
KOTAKBANK.NS,TATACONSUM.NS,0.2719763756071954,56.07483278631534,0.0076871887375773
HDFCBANK.NS,TITAN.NS,0.4105047386971653,56.28854560087764,0.0118864248961871
APOLLOHOSP.NS,TECHM.NS,1.5786350326040914,56.30214642225154,0.0051161826947916
HDFCLIFE.NS,TATACONSUM.NS,0.2780063734621302,56.7210753142168,0.0033582176435644
