Date,Return,Return
2018-02-14,0.0006025276038543714,0.0006025276038543714
2018-02-15,0.0006025276038543714,0.0012050552077087428
2018-02-16,-0.0007001002522867249,0.0005049549554220179
2018-02-17,-0.0007001002522867249,-0.00019514529686470695
2018-02-18,-0.0007001002522867249,-0.0008952455491514318
2018-02-19,-0.0007001002522867249,-0.0015953458014381567
2018-02-20,-0.0007001002522867249,-0.0022954460537248818
2018-02-21,-0.0007001002522867249,-0.0029955463060116067
2018-02-22,-0.0007001002522867249,-0.0036956465582983315
2018-02-23,-0.0007001002522867249,-0.004395746810585056
2018-02-24,-0.0007001002522867249,-0.005095847062871781
2018-02-25,-0.0007001002522867249,-0.005795947315158506
2018-02-26,0.0017606607554136878,-0.004035286559744818
2018-02-27,0.0017606607554136878,-0.00227462580433113
2018-02-28,0.0017606607554136878,-0.0005139650489174423
2018-03-01,0.0017606607554136878,0.0012466957064962455
2018-03-02,0.0017606607554136878,0.003007356461909933
2018-03-03,0.0017606607554136878,0.004768017217323621
2018-03-04,0.0017606607554136878,0.006528677972737309
2018-03-05,0.0017606607554136878,0.008289338728150996
2018-03-06,0.004305115060775055,0.012594453788926051
2018-03-07,0.004305115060775055,0.016899568849701105
2018-03-08,0.004305115060775055,0.02120468391047616
2018-03-09,0.004305115060775055,0.02550979897125122
2018-03-10,0.004305115060775055,0.029814914032026275
2018-03-11,0.004305115060775055,0.03412002909280133
2018-03-12,0.004305115060775055,0.03842514415357639
2018-03-13,0.0039045057545643845,0.042329649908140775
2018-03-14,0.0039045057545643845,0.04623415566270516
2018-03-15,0.0039045057545643845,0.050138661417269546
2018-03-16,0.0039045057545643845,0.05404316717183393
2018-03-17,0.0039045057545643845,0.05794767292639832
2018-03-18,0.0039045057545643845,0.061852178680962704
2018-03-19,0.003582804914497223,0.06543498359545993
2018-03-20,0.003582804914497223,0.06901778850995716
2018-03-21,0.001472516056007021,0.07049030456596418
2018-03-22,0.0005435272911259068,0.07103383185709009
2018-03-23,-0.0004268643279057246,0.07060696752918436
2018-03-24,-0.0004268643279057246,0.07018010320127863
2018-03-25,-0.0004268643279057246,0.0697532388733729
2018-03-26,-0.0004268643279057246,0.06932637454546717
2018-03-27,0.0011156133405161364,0.0704419878859833
2018-03-28,0.0011156133405161364,0.07155760122649943
2018-03-29,0.0011156133405161364,0.07267321456701556
2018-03-30,0.0011156133405161364,0.07378882790753169
2018-03-31,0.0011156133405161364,0.07490444124804782
2018-04-01,0.0011156133405161364,0.07602005458856395
2018-04-02,0.0011156133405161364,0.07713566792908008
2018-04-03,0.0011156133405161364,0.07825128126959621
2018-04-04,0.0012377309370990577,0.07948901220669527
2018-04-05,0.0012377309370990577,0.08072674314379433
2018-04-06,0.0012377309370990577,0.08196447408089338
2018-04-07,0.0011456597149662629,0.08311013379585964
2018-04-08,0.0011456597149662629,0.0842557935108259
2018-04-09,0.0011456597149662629,0.08540145322579216
2018-04-10,0.0011456597149662629,0.08654711294075842
2018-04-11,0.0003171577990560108,0.08686427073981444
2018-04-12,0.0003171577990560108,0.08718142853887045
2018-04-13,0.0003171577990560108,0.08749858633792647
2018-04-14,0.0003171577990560108,0.08781574413698248
2018-04-15,0.0003171577990560108,0.0881329019360385
2018-04-16,-0.008243836921630025,0.07988906501440847
2018-04-17,-0.008243836921630025,0.07164522809277844
2018-04-18,-0.008243836921630025,0.06340139117114842
2018-04-19,-0.009023975523280301,0.05437741564786812
2018-04-20,-0.013306450437426901,0.04107096521044122
2018-04-21,-0.013306450437426901,0.02776451477301432
2018-04-22,-0.013306450437426901,0.014458064335587419
2018-04-23,-0.010336406565291069,0.00412165777029635
2018-04-24,-0.010336406565291069,-0.0062147487949947185
2018-04-25,-0.01825098845071289,-0.02446573724570761
2018-04-26,-0.01825098845071289,-0.0427167256964205
2018-04-27,-0.001956132041600554,-0.04467285773802106
2018-04-28,-0.001956132041600554,-0.04662898977962161
2018-04-29,-0.001956132041600554,-0.04858512182122217
2018-04-30,-0.00325176082927802,-0.05183688265050019
2018-05-01,-0.00325176082927802,-0.05508864347977821
2018-05-02,-0.00325176082927802,-0.05834040430905623
2018-05-03,0.005118549016044261,-0.05322185529301197
2018-05-04,0.050864980703292643,-0.002356874589719324
2018-05-05,0.050864980703292643,0.04850810611357332
2018-05-06,0.050864980703292643,0.09937308681686596
2018-05-07,0.024625974399418635,0.1239990612162846
2018-05-08,0.02289491748745576,0.14689397870374035
2018-05-09,0.01957611597138194,0.1664700946751223
2018-05-10,0.01951794295372172,0.18598803762884403
2018-05-11,0.0429821405524673,0.22897017818131132
2018-05-12,0.0429821405524673,0.2719523187337786
2018-05-13,0.0429821405524673,0.3149344592862459
2018-05-14,0.047107714683141164,0.3620421739693871
2018-05-15,0.047107714683141164,0.40914988865252827
2018-05-16,0.049927238848024344,0.45907712750055263
2018-05-17,0.05387601026470301,0.5129531377652556
2018-05-18,0.05387601026470301,0.5668291480299587
2018-05-19,0.05387601026470301,0.6207051582946617
2018-05-20,0.05387601026470301,0.6745811685593647
2018-05-21,0.05387601026470301,0.7284571788240677
2018-05-22,0.04986139016973733,0.778318568993805
2018-05-23,0.04986139016973733,0.8281799591635424
2018-05-24,0.04986139016973733,0.8780413493332797
2018-05-25,0.04986139016973733,0.927902739503017
2018-05-26,0.04986139016973733,0.9777641296727544
2018-05-27,0.04986139016973733,1.0276255198424917
2018-05-28,0.04986139016973733,1.077486910012229
2018-05-29,0.04986139016973733,1.1273483001819664
2018-05-30,0.04986139016973733,1.1772096903517038
2018-05-31,0.04720718744473407,1.224416877796438
