Date,Asset_Y,Asset_X,Hedge_Ratio,Z_Score,Signal
2026-01-01,BAJAJFINSV.NS,KOTAKBANK.NS,2.18,-2.22697122043372,LONG
2026-01-14,BAJAJFINSV.NS,KOTAKBANK.NS,2.18,0.07613380646230557,EXIT
